Name,Nation,Followers,Age,Birthdate,Height,Weight,Hometown,First Season
John John Florence,Hawaii,189k,"
                30
            ","Oct 18, 1992",186 cm,79 kg,79 kg,2008 Men's QS
Joel Parkinson,Australia,37k,"
                42
            ","Apr 10, 1981",183 cm,82 kg,82 kg,1999 Men's CT
Tevita Gukilau,Fiji,578,,,,,,2008 Men's QS
Aritz Aranburu,Spain,"7,081","
                37
            ","Aug 30, 1985",172 cm,70 kg,70 kg,2007 Men's CT
Mason Ho,Hawaii,12k,"
                34
            ","Sep 1, 1988",173 cm,68 kg,68 kg,2008 Men's QS
Michael February,South Africa,"5,375","
                30
            ","May 17, 1993",188 cm,72 kg,72 kg,2008 Men's QS
Miguel Blanco,Portugal,"1,986","
                27
            ","Nov 27, 1995",173 cm,67 kg,67 kg,2011 Men's JR
Ramzi Boukhiam,Morocco,"2,770","
                29
            ","Sep 14, 1993",184 cm,85 kg,85 kg,2008 Men's QS
Jorgann Couzinet,France,"3,166","
                29
            ","Oct 17, 1993",187 cm,85 kg,85 kg,2011 Men's JR
Tim Reyes,United States,288,"
                40
            ","Jul 9, 1982",71 kg,,,2005 Men's CT
Tom Whitaker,Australia,408,,,,,,2003 Men's CT
Glenn Hall,Ireland,"2,610","
                41
            ","Nov 11, 1981",165 cm,63 kg,63 kg,2008 Men's QS
Oney Anwar,Indonesia,"1,487","
                29
            ","Aug 17, 1993",,,,2011 Men's JR
Joe Van Dijk,Australia,"1,354","
                24
            ","Sep 22, 1998",182 cm,74 kg,74 kg,2012 Men's JR
Inia Nakalevu,Fiji,550,"
            5 ft, 11 in
        ",180 cm,75 kg,,,"
            ,
        "
Mitch Coleborn,Australia,"1,353","
                36
            ","Jan 15, 1987",173 cm,75 kg,75 kg,2008 Men's QS
Mitch Crews,Australia,"1,925","
                33
            ","Apr 5, 1990",180 cm,77 kg,77 kg,2009 Men's QS
Joao Chianca,Brazil,10k,"
                22
            ","Aug 30, 2000",,,,2015 SPEC
Aca Ravulo,Fiji,581,"
                39
            ","Apr 28, 1984",182 cm,78 kg,78 kg,2013 Men's CT
Dion Atkinson,Australia,"1,338","
                37
            ","Apr 29, 1986",182 cm,82 kg,82 kg,2008 Men's QS
Marco Fernandez,Brazil,"2,850",,,,,,2008 Men's QS
Garrett Parkes,Australia,703,,,,,,2010 Men's CT
Tully Wylie,Australia,191,,,,,,
Ben Spence,Australia,95,,,,,,
Koa Smith,Hawaii,"3,410","
                27
            ","Jan 2, 1996",,,,2008 Men's QS
